POI_ID,USE_TYPE,NAME,NAME_LONG,LEVEL_ID,HEIGHT_REL,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,VALIDATION,STATUS
OtherBuildings.DignityHealthArena.L0.114-A-01,Seat,114-A-01,"114-A-01, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-02,Seat,114-A-02,"114-A-02, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-03,Seat,114-A-03,"114-A-03, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-04,Seat,114-A-04,"114-A-04, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-05,Seat,114-A-05,"114-A-05, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-06,Seat,114-A-06,"114-A-06, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-07,Seat,114-A-07,"114-A-07, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-08,Seat,114-A-08,"114-A-08, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-09,Seat,114-A-09,"114-A-09, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-10,Seat,114-A-10,"114-A-10, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-11,Seat,114-A-11,"114-A-11, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-12,Seat,114-A-12,"114-A-12, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-13,Seat,114-A-13,"114-A-13, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-14,Seat,114-A-14,"114-A-14, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-15,Seat,114-A-15,"114-A-15, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-16,Seat,114-A-16,"114-A-16, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-17,Seat,114-A-17,"114-A-17, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-18,Seat,114-A-18,"114-A-18, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-19,Seat,114-A-19,"114-A-19, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-20,Seat,114-A-20,"114-A-20, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-21,Seat,114-A-21,"114-A-21, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-A-22,Seat,114-A-22,"114-A-22, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L01.105-J-01,Seat,105-J-01,"105-J-01, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-02,Seat,105-J-02,"105-J-02, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-03,Seat,105-J-03,"105-J-03, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-04,Seat,105-J-04,"105-J-04, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-05,Seat,105-J-05,"105-J-05, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-06,Seat,105-J-06,"105-J-06, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-07,Seat,105-J-07,"105-J-07, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-08,Seat,105-J-08,"105-J-08, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-09,Seat,105-J-09,"105-J-09, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-10,Seat,105-J-10,"105-J-10, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-11,Seat,105-J-11,"105-J-11, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-12,Seat,105-J-12,"105-J-12, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-13,Seat,105-J-13,"105-J-13, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-14,Seat,105-J-14,"105-J-14, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-15,Seat,105-J-15,"105-J-15, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-16,Seat,105-J-16,"105-J-16, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-17,Seat,105-J-17,"105-J-17, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-18,Seat,105-J-18,"105-J-18, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
