FACILITY_I,FACILITY_N,HEIGHT_FRO,HEIGHT_TO,LENGTH_3D,LEVEL_NAME,LEVEL_NA_1,TRANSITION,TRANSITI_1,TRAVEL_DIR,VERTICAL_O,VERTICAL_1,SHAPE_Leng
OtherBuildings.DignityHealthArena,Dignity Health Arena,0.00000000000,6.55319999999,0.00000000000,L0,L01,1,4,1,0,1,0.00000000000
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,16.30680000000,0.00000000000,L01,L02,1,4,1,1,2,0.00000000000
OtherBuildings.DignityHealthArena,Dignity Health Arena,0.00000000000,6.55319999999,0.00000000000,L0,L01,1,4,1,0,1,0.00000000000
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,16.30680000000,0.00000000000,L01,L02,1,4,1,1,2,0.00000000000
OtherBuildings.DignityHealthArena,Dignity Health Arena,0.00000000000,6.55319999999,15.02130417590,L0,L01,1,2,1,0,1,15.02130417590
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,16.30680000000,17.49669830900,L01,L02,1,2,1,1,2,17.49669830900
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.35739999999,5.76080501704,L01,L02,1,2,1,1,2,5.76080501704
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.35739999999,7.78915628755,L01,L02,1,2,1,1,2,7.78915628755
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,6.79144671776,L01,L02,1,2,1,1,2,6.79144671776
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,7.57544634705,L01,L02,1,2,1,1,2,7.57544634705
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,7.15829391645,L01,L02,1,2,1,1,2,7.15829391645
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,7.03948922215,L01,L02,1,2,1,1,2,7.03948922215
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,6.67693303346,L01,L02,1,2,1,1,2,6.67693303346
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,7.08379222268,L01,L02,1,2,1,1,2,7.08379222268
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,6.90183654010,L01,L02,1,2,1,1,2,6.90183654010
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,6.21082440107,L01,L02,1,2,1,1,2,6.21082440107
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,6.84587320212,L01,L02,1,2,1,1,2,6.84587320212
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,6.69271824972,L01,L02,1,2,1,1,2,6.69271824972
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,7.24359175243,L01,L02,1,2,1,1,2,7.24359175243
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,6.62226909695,L01,L02,1,2,1,1,2,6.62226909695
OtherBuildings.DignityHealthArena,Dignity Health Arena,6.55319999999,9.96700000000,6.68395097949,L01,L02,1,2,1,1,2,6.68395097949
OtherBuildings.DignityHealthArena,Dignity Health Arena,0.00000000000,6.55319999999,32.33305825530,L0,L01,1,2,1,0,1,32.33305825530
OtherBuildings.DignityHealthArena,Dignity Health Arena,0.00000000000,6.55319999999,26.02610402890,L0,L01,1,2,1,0,1,26.02610402890
OtherBuildings.DignityHealthArena,Dignity Health Arena,0.00000000000,6.55319999999,19.41161447690,L0,L01,1,2,1,0,1,19.41161447690
